YEAR ,MONTH,INDEX
1974,7.00E+00,3.77E-01
1974,8.00E+00,2.62E-01
1974,9.00E+00,-1.68E-01
1974,1.00E+01,7.50E-03
1974,1.10E+01,4.27E-02
1974,1.20E+01,7.16E-01
1975,1.00E+00,6.39E-01
1975,2.00E+00,9.85E-01
1975,3.00E+00,7.16E-01
1975,4.00E+00,6.49E-01
1975,5.00E+00,7.16E-01
1975,6.00E+00,4.58E-01
1975,7.00E+00,5.11E-01
1975,8.00E+00,1.03E+00
1975,9.00E+00,5.73E-01
1975,1.00E+01,9.56E-01
1975,1.10E+01,1.27E+00
1975,1.20E+01,1.08E+00
1976,1.00E+00,1.08E+00
1976,2.00E+00,1.18E+00
1976,3.00E+00,1.68E+00
1976,4.00E+00,2.44E+00
1976,5.00E+00,2.18E+00
1976,6.00E+00,2.07E+00
1976,7.00E+00,2.27E+00
1976,8.00E+00,2.44E+00
1976,9.00E+00,2.43E+00
1976,1.00E+01,1.69E+00
1976,1.10E+01,1.57E+00
1976,1.20E+01,1.33E+00
1977,1.00E+00,1.32E+00
1977,2.00E+00,1.93E+00
1977,3.00E+00,1.70E+00
1977,4.00E+00,1.40E+00
1977,5.00E+00,1.07E+00
1977,6.00E+00,9.24E-01
1977,7.00E+00,1.04E+00
1977,8.00E+00,1.28E+00
1977,9.00E+00,7.66E-01
1977,1.00E+01,1.25E+00
1977,1.10E+01,1.45E+00
1977,1.20E+01,8.54E-01
1978,1.00E+00,1.21E+00
1978,2.00E+00,1.24E+00
1978,3.00E+00,6.16E-01
1978,4.00E+00,4.53E-01
1978,5.00E+00,5.87E-01
1978,6.00E+00,3.84E-01
1978,7.00E+00,4.26E-01
1978,8.00E+00,8.64E-01
1978,9.00E+00,1.29E+00
1978,1.00E+01,3.52E-01
1978,1.10E+01,-2.59E-01
1978,1.20E+01,-1.12E+00
1979,1.00E+00,-5.15E-01
1979,2.00E+00,-2.33E-01
1979,3.00E+00,-6.29E-01
1979,4.00E+00,-1.03E+00
1979,5.00E+00,-7.82E-01
1979,6.00E+00,-8.23E-01
1979,7.00E+00,-1.15E+00
1979,8.00E+00,-1.25E+00
1979,9.00E+00,-7.85E-01
1979,1.00E+01,-6.13E-01
1979,1.10E+01,-4.92E-01
1979,1.20E+01,-5.41E-01
1980,1.00E+00,-1.90E+00
1980,2.00E+00,-1.72E+00
1980,3.00E+00,-1.15E+00
1980,4.00E+00,-6.58E-02
1980,5.00E+00,-2.11E-01
1980,6.00E+00,-6.83E-01
1980,7.00E+00,-9.90E-01
1980,8.00E+00,-1.08E+00
1980,9.00E+00,-6.97E-01
1980,1.00E+01,-6.60E-02
1980,1.10E+01,-1.35E-01
1980,1.20E+01,-2.83E-01
1981,1.00E+00,-2.64E-01
1981,2.00E+00,-1.06E+00
1981,3.00E+00,-6.91E-01
1981,4.00E+00,-6.27E-01
1981,5.00E+00,2.00E-01
1981,6.00E+00,8.82E-03
1981,7.00E+00,-5.26E-01
1981,8.00E+00,-6.98E-01
1981,9.00E+00,2.98E-03
1981,1.00E+01,-2.88E-01
1981,1.10E+01,7.56E-01
1981,1.20E+01,5.21E-01
1982,1.00E+00,-2.00E-01
1982,2.00E+00,-8.73E-01
1982,3.00E+00,-6.21E-01
1982,4.00E+00,-1.07E+00
1982,5.00E+00,-9.93E-01
1982,6.00E+00,-8.48E-01
1982,7.00E+00,-6.11E-01
1982,8.00E+00,-4.57E-01
1982,9.00E+00,-4.60E-01
1982,1.00E+01,-1.01E+00
1982,1.10E+01,-8.66E-01
1982,1.20E+01,-2.34E-01
1983,1.00E+00,6.05E-01
1983,2.00E+00,4.74E-01
1983,3.00E+00,4.30E-01
1983,4.00E+00,-7.21E-01
1983,5.00E+00,-7.44E-01
1983,6.00E+00,-7.69E-02
1983,7.00E+00,-4.86E-02
1983,8.00E+00,-1.00E-02
1983,9.00E+00,-4.10E-01
1983,1.00E+01,-4.87E-01
1983,1.10E+01,5.61E-01
