"","year","production","pop_name","n","originprop","originpercentage"
"127",2018,"Hatchery","Cedar Chinook",137,0.0139924420386069,1.39924420386069
"128",2018,"Natural","Cedar Chinook",666,0.0763498796285682,7.63498796285682
"129",2019,"Hatchery","Cedar Chinook",249,0.0515421237838957,5.15421237838957
"130",2019,"Natural","Cedar Chinook",606,0.171428571428571,17.1428571428571
"131",1986,"Composite","Dungeness Chinook",238,0.00661000944287063,0.661000944287063
"132",1987,"Composite","Dungeness Chinook",100,0.002975836209975,0.2975836209975
"133",1988,"Composite","Dungeness Chinook",335,0.00991828517290384,0.991828517290384
"134",1989,"Composite","Dungeness Chinook",88,0.00277051915751031,0.277051915751031
"135",1990,"Composite","Dungeness Chinook",310,0.00825939839607812,0.825939839607812
"136",1991,"Composite","Dungeness Chinook",163,0.00584124708833542,0.584124708833542
"137",1992,"Composite","Dungeness Chinook",153,0.00672143390589993,0.672143390589993
"138",1993,"Composite","Dungeness Chinook",43,0.00220309457936264,0.220309457936264
"139",1994,"Composite","Dungeness Chinook",65,0.00312139838647714,0.312139838647714
"140",1995,"Composite","Dungeness Chinook",163,0.00617892342683851,0.617892342683851
"141",1996,"Composite","Dungeness Chinook",183,0.00649465876424034,0.649465876424034
"142",1997,"Composite","Dungeness Chinook",50,0.00297000297000297,0.297000297000297
"143",1998,"Composite","Dungeness Chinook",110,0.00368632707774799,0.368632707774799
"144",1999,"Composite","Dungeness Chinook",75,0.0039351487486227,0.39351487486227
"145",2000,"Composite","Dungeness Chinook",218,0.00776491540516474,0.776491540516474
"146",2001,"Hatchery","Dungeness Chinook",436,0.0920802534318902,9.20802534318902
"147",2001,"Natural","Dungeness Chinook",17,0.0021505376344086,0.21505376344086
"148",2002,"Hatchery","Dungeness Chinook",518,0.102737009123364,10.2737009123364
"149",2002,"Natural","Dungeness Chinook",115,0.0399583043780403,3.99583043780403
"150",2003,"Hatchery","Dungeness Chinook",517,0.0548366567670768,5.48366567670768
"151",2003,"Natural","Dungeness Chinook",123,0.0312341289994921,3.12341289994921
"152",2004,"Hatchery","Dungeness Chinook",771,0.0603758809710258,6.03758809710258
"153",2004,"Natural","Dungeness Chinook",182,0.0227699236832228,2.27699236832228
"154",2005,"Hatchery","Dungeness Chinook",651,0.0934002869440459,9.34002869440459
"155",2005,"Natural","Dungeness Chinook",304,0.0499015101772817,4.99015101772817
"156",2006,"Hatchery","Dungeness Chinook",1112,0.0877456008837686,8.77456008837686
"157",2006,"Natural","Dungeness Chinook",293,0.0206658202849485,2.06658202849485
"158",2007,"Hatchery","Dungeness Chinook",159,0.0167157275021026,1.67157275021026
"159",2007,"Natural","Dungeness Chinook",146,0.0151814495164812,1.51814495164812
"160",2008,"Hatchery","Dungeness Chinook",54,0.00538492221779019,0.538492221779019
"161",2008,"Natural","Dungeness Chinook",86,0.00492018994221637,0.492018994221637
"162",2009,"Hatchery","Dungeness Chinook",57,0.00817790530846485,0.817790530846485
"163",2009,"Natural","Dungeness Chinook",71,0.017449004669452,1.7449004669452
"164",2010,"Hatchery","Dungeness Chinook",269,0.0267422208967094,2.67422208967094
"165",2010,"Natural","Dungeness Chinook",76,0.010349993190794,1.0349993190794
"166",2011,"Hatchery","Dungeness Chinook",452,0.0591700484356591,5.91700484356591
"167",2011,"Natural","Dungeness Chinook",83,0.0160479505027069,1.60479505027069
"168",2012,"Hatchery","Dungeness Chinook",296,0.0350794027020621,3.50794027020621
"169",2012,"Natural","Dungeness Chinook",212,0.0246884825899616,2.46884825899616
"170",2013,"Hatchery","Dungeness Chinook",122,0.0127548353371668,1.27548353371668
"171",2013,"Natural","Dungeness Chinook",46,0.00702397312566804,0.702397312566804
"172",2014,"Hatchery","Dungeness Chinook",87,0.0126582278481013,1.26582278481013
"173",2014,"Natural","Dungeness Chinook",21,0.00366492146596859,0.366492146596859
"174",2015,"Hatchery","Dungeness Chinook",200,0.0201734920314706,2.01734920314706
"175",2015,"Natural","Dungeness Chinook",65,0.00887129793912925,0.887129793912925
"176",2016,"Hatchery","Dungeness Chinook",273,0.0187384171871783,1.87384171871783
"177",2016,"Natural","Dungeness Chinook",135,0.0151583202335504,1.51583202335504
"178",2017,"Hatchery","Dungeness Chinook",456,0.0360132680461223,3.60132680461223
"179",2017,"Natural","Dungeness Chinook",149,0.0149538338016861,1.49538338016861
"180",2018,"Hatchery","Dungeness Chinook",661,0.0675109794709427,6.75109794709427
"181",2018,"Natural","Dungeness Chinook",127,0.0145592112805228,1.45592112805228
"182",2019,"Hatchery","Dungeness Chinook",665,0.137652659904782,13.7652659904782
"183",2019,"Natural","Dungeness Chinook",173,0.0489391796322489,4.89391796322489
"184",1986,"Natural","Elwha Chinook",855,1,100
"185",1987,"Natural","Elwha Chinook",1642,1,100
"186",1988,"Natural","Elwha Chinook",5228,0.890023833844059,89.0023833844059
"187",1989,"Natural","Elwha Chinook",3035,0.817618534482759,81.7618534482759
"188",1990,"Natural","Elwha Chinook",1644,0.918435754189944,91.8435754189944
"189",1991,"Natural","Elwha Chinook",1642,0.927159796725014,92.7159796725014
"190",1992,"Natural","Elwha Chinook",479,0.553117782909931,55.3117782909931
"191",1993,"Natural","Elwha Chinook",633,0.503980891719745,50.3980891719745
"192",1994,"Natural","Elwha Chinook",163,0.421188630490956,42.1188630490956
"193",1995,"Natural","Elwha Chinook",524,0.555673382820785,55.5673382820785
"194",1996,"Natural","Elwha Chinook",364,0.363636363636364,36.3636363636364
"195",1997,"Natural","Elwha Chinook",1585,0.296261682242991,29.6261682242991
"196",1998,"Natural","Elwha Chinook",720,0.167636786961583,16.7636786961583
"197",1999,"Natural","Elwha Chinook",903,0.219068413391557,21.9068413391558
"198",2000,"Natural","Elwha Chinook",715,0.166395159413544,16.6395159413544
"199",2001,"Natural","Elwha Chinook",655,0.0828589500316256,8.28589500316255
"200",2002,"Natural","Elwha Chinook",863,0.299861014593468,29.9861014593468
"201",2003,"Natural","Elwha Chinook",1045,0.26536312849162,26.536312849162
"202",2004,"Natural","Elwha Chinook",2075,0.259602151882898,25.9602151882898
"203",2005,"Natural","Elwha Chinook",835,0.137065003282994,13.7065003282994
"204",2006,"Natural","Elwha Chinook",693,0.0488785442234448,4.88785442234448
"205",2007,"Natural","Elwha Chinook",380,0.0395133617552251,3.95133617552251
"206",2008,"Natural","Elwha Chinook",470,0.026889410149322,2.6889410149322
"207",2009,"Hatchery","Elwha Chinook",609,0.0873744619799139,8.73744619799139
"208",2009,"Natural","Elwha Chinook",39,0.00958466453674121,0.958466453674121
"209",2010,"Hatchery","Elwha Chinook",541,0.0537826821751665,5.37826821751665
"210",2010,"Natural","Elwha Chinook",23,0.00313223478142449,0.313223478142449
"211",2011,"Hatchery","Elwha Chinook",819,0.107212985992931,10.7212985992931
"212",2011,"Natural","Elwha Chinook",34,0.0065738592420727,0.65738592420727
"213",2012,"Hatchery","Elwha Chinook",915,0.108438018487793,10.8438018487793
"214",2012,"Natural","Elwha Chinook",113,0.0131594270408757,1.31594270408757
"215",2013,"Hatchery","Elwha Chinook",3435,0.359121798222687,35.9121798222687
"216",2013,"Natural","Elwha Chinook",145,0.0221407848526493,2.21407848526493
"217",1968,"Composite","Green River (Duwamish) Chinook",3110,0.205619834710744,20.5619834710744
"218",1969,"Composite","Green River (Duwamish) Chinook",4035,0.311872004946669,31.1872004946669
"219",1970,"Composite","Green River (Duwamish) Chinook",11171,0.401430214172776,40.1430214172776
"220",1971,"Composite","Green River (Duwamish) Chinook",5832,0.266739846322722,26.6739846322722
"221",1972,"Composite","Green River (Duwamish) Chinook",4343,0.338503507404521,33.8503507404521
"222",1973,"Composite","Green River (Duwamish) Chinook",3180,0.228497521017461,22.8497521017461
"223",1974,"Composite","Green River (Duwamish) Chinook",5095,0.188605908047679,18.8605908047679
"224",1975,"Composite","Green River (Duwamish) Chinook",3394,0.138530612244898,13.8530612244898
"225",1976,"Composite","Green River (Duwamish) Chinook",3140,0.122987740394031,12.2987740394031
"226",1977,"Composite","Green River (Duwamish) Chinook",3804,0.169988381446063,16.9988381446063
"227",1978,"Composite","Green River (Duwamish) Chinook",3304,0.12076906206594,12.076906206594
"228",1979,"Composite","Green River (Duwamish) Chinook",9704,0.264551130012813,26.4551130012813
"229",1980,"Composite","Green River (Duwamish) Chinook",7743,0.185132938026014,18.5132938026014
"230",1981,"Composite","Green River (Duwamish) Chinook",3606,0.199006622516556,19.9006622516556
"231",1982,"Composite","Green River (Duwamish) Chinook",1840,0.0906359292645682,9.06359292645682
"232",1983,"Composite","Green River (Duwamish) Chinook",3679,0.166976807515999,16.6976807515999
"233",1984,"Composite","Green River (Duwamish) Chinook",3353,0.135288896061975,13.5288896061975
"234",1985,"Composite","Green River (Duwamish) Chinook",2908,0.0908182386008745,9.08182386008745
"235",1986,"Composite","Green River (Duwamish) Chinook",4792,0.133088929622841,13.3088929622841
"236",1987,"Composite","Green River (Duwamish) Chinook",10338,0.307641947387216,30.7641947387216
"237",1988,"Composite","Green River (Duwamish) Chinook",7994,0.236676930364756,23.6676930364756
"238",1989,"Composite","Green River (Duwamish) Chinook",11512,0.36243427887794,36.243427887794
"239",1990,"Composite","Green River (Duwamish) Chinook",7035,0.187435057149708,18.7435057149708
"240",1991,"Composite","Green River (Duwamish) Chinook",10548,0.377996774771546,37.7996774771546
"241",1992,"Composite","Green River (Duwamish) Chinook",5267,0.231384263937091,23.1384263937091
"242",1993,"Composite","Green River (Duwamish) Chinook",2476,0.12685725996516,12.685725996516
"243",1994,"Composite","Green River (Duwamish) Chinook",4078,0.195831732616212,19.5831732616212
"244",1995,"Composite","Green River (Duwamish) Chinook",7939,0.300947687642153,30.0947687642153
"245",1996,"Composite","Green River (Duwamish) Chinook",6026,0.2138623700181,21.38623700181
"246",1997,"Composite","Green River (Duwamish) Chinook",7101,0.421799821799822,42.1799821799822
"247",1998,"Composite","Green River (Duwamish) Chinook",5963,0.199832439678284,19.9832439678284
"248",1999,"Composite","Green River (Duwamish) Chinook",7135,0.374363817618973,37.4363817618973
"249",2000,"Composite","Green River (Duwamish) Chinook",4473,0.159323241317898,15.9323241317898
"250",2001,"Composite","Green River (Duwamish) Chinook",6473,0.218232696132969,21.8232696132969
"251",2002,"Composite","Green River (Duwamish) Chinook",7564,0.185310402273507,18.5310402273507
"252",2003,"Hatchery","Green River (Duwamish) Chinook",4636,0.491726771319474,49.1726771319474
